label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299
Cultural,1,1,1,6,0,0,0,2,0,0,0,0,4,9,3,1,5,2,0,0,0,0,1,0,0,1,0,6,0,0,0,0,4,1,0,0,0,0,0,5,0,0,0,5,0,0,0,0,3,7,0,3,4,0,0,0,0,1,0,2,1,0,0,1,1,0,0,0,0,0,2,3,0,0,3,0,0,0,0,1,2,0,1,0,0,1,0,0,0,0,0,4,0,0,1,2,2,1,0,0,1,0,0,0,0,0,0,0,0,2,0,16,0,0,0,0,0,6,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,6,1,0,3,0,0,0,0,0,1,0,0,5,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,11,1,3,0,1,0,12,0,2,0,1,3,0,0,0,2,0,0,0,1,3,1,1,0,3,0,3,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,3,0,0,12,0,0,3,0,0,2,0,0,0,0,0,0,6,0,6,1,0,4,0,3,0,0,1,0,1,1,1,2,0,0,0,0,1,0,1,0,0,0,2,2,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,0,0,0,0,0,3,2,0,1,0,0,0,0,0
Cultural,1,4,1,7,0,0,0,0,0,3,0,0,5,14,3,1,8,0,1,0,0,0,0,0,0,3,2,2,0,0,1,0,5,0,0,0,0,2,0,0,0,0,2,2,0,0,1,1,2,3,0,0,0,0,1,0,3,3,2,5,0,1,1,0,8,2,0,0,8,0,0,1,1,0,0,0,0,0,1,0,0,0,1,7,2,1,0,1,2,0,0,10,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,1,0,1,2,3,0,0,0,12,2,0,5,0,0,0,0,9,0,3,1,0,0,0,1,0,1,0,0,5,4,0,0,2,0,0,0,0,0,4,0,0,0,0,0,2,0,0,2,0,1,1,1,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,1,1,0,0,0,9,1,0,3,0,2,4,0,4,1,1,3,0,0,0,2,2,0,14,0,0,1,0,0,0,0,2,0,5,0,1,10,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,5,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,7,1,0,0,3,0,0,1,1,1,0,0,0,0,5,1,2,3,0,0,0,0,0,2,0,0,8,0,0,0,1,0
Cultural,1,5,0,0,0,0,0,0,0,0,0,0,1,2,0,1,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,0,0,1,1,1,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,2,2,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,2,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,2,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,1,8,0,0,0,0,0,1,0,0,3,0,2,2,0,1,0,0,0,0,0,0,1,2,0,1,1,0,2,0,0,1,0,1,0,0,0,1,4,0,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,2,0
Cultural,1,1,2,3,1,0,0,1,0,1,2,0,11,1,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,1,2,0,0,4,0,0,0,1,0,1,0,0,0,4,0,0,0,0,0,0,5,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,1,0,0,0,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0
Cultural,1,0,4,2,0,0,0,2,0,0,1,1,2,0,4,0,3,0,1,0,0,0,0,5,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,1,2,2,8,8,0,1,0,0,0,2,0,2,0,0,1,0,0,2,0,6,1,3,0,2,1,0,0,0,0,0,0,0,0,2,6,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,1,0,1,0,2,0,1,0,0,1,3,0,0,1,0,0,1,0,0,0,0,0,0,4,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,2,0,6,0,0,2,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,2,0,0,0,0,0,3,1,0,3,0,0,0,3,1
Cultural,1,0,0,1,0,0,0,2,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,5,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,0,11,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,10,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cultural,4,0,3,12,4,1,1,1,0,2,1,11,3,14,1,1,13,8,2,6,0,0,0,0,0,4,15,0,0,0,0,4,11,1,0,2,0,2,3,12,1,0,1,1,0,7,0,3,8,6,1,23,86,0,4,3,1,17,0,7,1,2,4,19,15,1,0,0,7,2,0,0,2,1,4,0,5,0,3,0,0,0,15,0,5,6,0,1,10,0,0,3,0,0,0,10,0,1,0,2,3,9,0,9,3,10,0,0,1,9,1,5,1,1,0,0,0,7,9,13,3,1,1,0,62,2,2,0,0,2,5,2,14,4,0,0,0,0,4,0,0,0,0,0,7,0,3,10,1,0,0,0,1,6,0,0,0,1,0,0,9,0,0,2,0,27,49,3,0,1,0,1,0,1,3,0,0,7,5,0,0,0,0,0,0,2,0,1,0,3,2,0,0,0,0,0,4,3,0,4,0,12,6,0,0,0,2,4,7,1,2,0,24,0,5,0,4,8,0,0,17,0,1,10,9,3,8,5,7,8,2,0,0,0,0,2,4,15,30,6,5,11,1,4,0,0,6,0,2,0,6,1,22,1,1,0,5,0,1,0,0,1,0,0,6,0,0,1,3,1,1,1,0,0,0,1,0,0,0,2,0,0,7,7,0,19,3,44,0,0,1,0,0,0,7,1,0,1,1,0
Cultural,2,2,0,1,0,0,0,0,0,0,4,0,4,0,0,1,11,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,8,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,3
Cultural,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,2,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cultural,0,0,0,1,1,0,0,2,0,0,1,0,4,2,2,0,3,2,0,0,0,0,0,0,0,1,2,0,0,0,0,2,5,0,0,0,0,3,2,1,0,0,0,1,0,0,0,0,1,4,0,3,6,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,1,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,3,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,1,0,0,1,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,2,0,2,4,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,1,0
Cultural,4,1,0,3,0,1,0,1,0,0,0,0,12,3,4,1,11,0,1,0,0,0,0,0,0,0,0,6,0,0,0,1,6,0,0,0,0,5,0,1,0,0,0,8,0,2,0,0,2,9,2,1,0,0,0,0,5,2,0,11,13,1,0,0,1,1,0,0,0,0,2,0,0,0,4,0,0,0,1,0,0,0,8,1,0,1,0,0,0,0,0,11,1,0,0,1,1,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,7,6,1,0,4,0,0,0,2,1,0,0,0,1,2,3,0,0,0,0,3,5,0,0,4,0,0,0,0,0,8,0,0,0,0,0,2,0,0,1,3,0,0,1,0,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,1,1,0,5,0,7,0,0,0,0,0,2,0,0,5,0,4,4,0,0,0,1,0,1,0,0,4,3,0,3,0,0,0,0,0,1,0,1,0,9,0,0,7,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,8,0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,5,0,0,0,3,0,0,4,0,1,0,0,1,5,0,0,0,0,0,1,0,0,4,0,1,0,0,0
Cultural,3,0,4,11,1,1,11,0,0,3,6,0,3,5,1,3,10,0,0,0,0,10,0,0,0,0,0,2,0,0,1,0,3,2,0,0,0,28,0,0,1,0,18,18,0,1,0,0,8,1,1,0,0,0,1,0,0,0,0,5,0,2,2,0,2,0,12,0,2,16,5,0,0,0,7,0,0,0,1,2,4,0,6,0,2,0,0,0,2,0,0,6,1,0,1,4,1,0,0,0,0,0,0,1,7,0,0,0,6,2,0,0,2,0,0,0,0,0,0,3,0,5,1,1,0,5,13,0,2,1,0,4,0,0,0,0,5,1,10,0,61,0,0,0,0,0,0,1,1,0,0,0,0,8,0,1,0,0,2,0,4,2,0,0,0,0,2,0,1,0,0,0,0,0,4,0,0,3,0,0,0,1,28,0,0,0,0,12,25,0,6,0,27,0,0,0,1,0,0,5,0,1,5,6,0,0,0,0,0,0,0,0,3,5,3,0,0,1,1,0,0,0,3,0,9,0,1,7,0,2,0,0,0,1,0,0,0,2,0,2,0,2,1,0,1,0,6,1,0,3,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,29,4,0,0,0,0,0,2,0,0,11,0,7,1,1,0
Cultural,1,0,1,0,0,0,0,2,0,0,0,3,0,1,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,1,6,0,0,0,1,2,0,0,0,2,1,3,0,1,0,0,0,0,1,1,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,1,0,0,4,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,8,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Cultural,7,0,10,18,0,0,0,0,0,2,17,0,3,17,11,7,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,4,0,0,0,0,2,8,0,1,0,1,0,0,1,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,16,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,22,7,0,1,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,14,0,0,8,0,7,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,7,6,0,0,0,1,0,2,4,0,3,0,5,0,0,0,7,1,0,4,0,2,11,0,0,0,2,0,0,0,0,17,0,0,6,0,0,5,0,0,0,0,1,0,10,0,4,11,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,11,0,0,0,0,0,0,0,6,0,39,2,0,1,6,0,0,1,0,0,0,0,0,0,0,0,16,0,0,0,7,1
Cultural,0,0,0,0,2,0,0,1,2,0,1,0,3,0,2,0,1,1,2,0,0,0,4,1,0,0,0,0,0,0,0,1,1,0,0,2,0,4,0,0,0,4,1,1,0,2,0,1,0,0,0,2,2,0,1,0,2,0,0,1,1,4,4,1,2,1,2,0,1,1,0,0,1,0,1,9,0,0,9,1,0,0,0,9,1,0,1,0,0,0,0,0,0,0,2,1,0,3,0,2,0,0,0,0,1,0,2,0,0,0,0,0,3,0,2,0,5,1,0,0,0,0,0,0,2,1,0,0,0,1,3,0,0,0,0,1,1,0,1,0,0,0,2,2,0,0,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,1,1,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,2,0,1,1,4,1,3,1
Cultural,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,4,3,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,10,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,1,0,1,0
Cultural,2,0,0,4,0,1,0,2,0,0,12,1,10,6,2,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,5,1,0,1,0,0,2,0,0,0,0,0,2,0,0,1,0,6,6,2,0,2,0,0,0,0,0,0,1,0,0,3,0,2,0,0,3,1,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,1,0,1,1,0,1,0,2,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3,0,2,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,2,0,0,0,2,0,5,0,1,1,0,0,0,0,0,0,2,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,1,1,3,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,2,1,0,1,10,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6,1,0,0,3,1,0,1,0,0,0,0,0,4,1,0,1,0,0,0,4,0
Cultural,0,2,1,3,3,0,0,0,0,3,0,0,5,2,3,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,1,0,0,0,0,0,3,3,0,1,0,2,0,0,0,0,1,0,3,0,0,3,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,0,0,0,2,0,5,0,0,0,2,2,0,0,0,0,0,0,0,0,2,3,0,5,0,3,0,0,0,0,2,0,0,0,9,0,0,0,0,1,9,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,3,1,1,0,1,0,0,0,0,0,3,0,0,1,0,0,6,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,15,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,2,0,0,11,1,2,0,1,1,0,2,0,0,2,0,0,0,3,0,0,0,0,0,3,1,0,1,10,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Cultural,0,0,0,2,2,0,1,0,0,3,6,0,1,6,2,0,1,1,2,0,0,0,0,0,0,0,4,0,13,0,0,0,4,0,0,0,0,3,0,0,1,0,1,1,0,2,0,0,0,1,0,3,0,0,3,0,0,0,0,6,0,1,4,0,0,0,3,0,0,3,0,0,0,0,2,0,0,0,1,1,0,0,0,0,1,0,0,2,0,3,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,1,0,0,0,5,0,0,1,0,0,0,0,0,2,0,0,2,0,2,0,2,0,0,1,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,5,0,1,2,0,0,0,11,0,0,0,0,0,0,0,0,2,0,1,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,9,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,3,1,1,0
Cultural,3,3,1,1,0,1,0,1,0,0,1,1,11,0,3,1,13,2,0,0,0,0,3,5,0,0,2,5,0,0,0,0,3,0,0,0,0,2,5,0,0,0,0,8,0,1,0,0,3,9,0,1,0,0,0,0,0,0,0,1,3,10,0,4,0,0,2,0,1,0,0,0,0,1,1,0,0,0,2,3,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,1,1,0,5,0,0,0,0,13,0,0,0,0,6,0,6,3,0,0,0,0,0,0,3,0,0,0,24,0,2,1,0,0,1,0,0,1,5,0,0,3,0,0,2,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,2,0,5,0,2,0,0,0,1,0,3,0,2,14,0,0,0,3,0,0,0,0,0,0,1,0,10,0,0,1,0,0,0,0,0,1,0,10,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2,0,1,0,0,2,0,16,0,0,0,0,6,0,0,2,1,0,0,0,0,1,1,0,4,0,0,0,2,1,18,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,5,0,1,0,0,0,2,0,0,1,0,0,0,1,1
Cultural,1,0,1,0,1,0,0,2,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,5,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,2,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
Cultural,0,3,0,0,0,0,0,0,6,0,1,1,6,0,1,0,7,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,3,0,1,2,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0,0,4,6,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2,0,5,0,0,0
